Projekt-Nummer: 20250999
Projektname: Musterstraﬂe
Versuchs-Nummer: CPTU 1
Kundenname: -
Ort: Musterhausen
Datum: 29.03.2025
Konus-Nummer: xxxxxx.Sxxxxx
Gel‰ndekante: 0,00
Wasserspiegel: 0,00
Vorbohrwerte: 0,00
E Coordinate: 0,000
N Coordinate: 0,000

Tiefe     qc        fs        u2        I         Rf        qt        ic        Su_min    Su_max    soilfr    soilbq    soilavg   IFA       
          [MPa]     [MPa]     [MPa]     [∞]       [%]       [MPa]               [kPa]     [kPa]                                   [∞]       

0,46      1,99      0,091     0,121     1,3       4,71      2,018     1,98      UNDEF     UNDEF     8,0       7,0       8,0       UNDEF     
0,47      1,99      0,094     0,121     1,2       4,74      2,014     1,99      UNDEF     UNDEF     8,0       7,0       8,0       UNDEF     
0,48      2,05      0,095     0,121     1,3       4,70      2,077     1,98      UNDEF     UNDEF     8,0       7,0       8,0       UNDEF     
0,49      2,06      0,097     0,122     1,3       4,75      2,088     1,99      UNDEF     UNDEF     8,0       7,0       8,0       UNDEF     
0,50      2,08      0,099     0,124     1,3       4,75      2,104     1,99      UNDEF     UNDEF     8,0       7,0       8,0       UNDEF     
0,51      2,12      0,100     0,127     1,3       4,76      2,148     1,99      UNDEF     UNDEF     8,0       7,0       8,0       UNDEF     
0,52      2,17      0,102     0,131     1,3       4,80      2,199     1,99      UNDEF     UNDEF     8,0       7,0       8,0       UNDEF     
0,53      2,20      0,103     0,132     1,3       4,77      2,230     1,98      UNDEF     UNDEF     8,0       7,0       8,0       UNDEF     
0,54      2,22      0,104     0,134     1,3       4,77      2,250     1,99      UNDEF     UNDEF     8,0       7,0       8,0       UNDEF     
0,55      2,24      0,105     0,136     1,3       4,80      2,270     1,99      UNDEF     UNDEF     8,0       7,0       8,0       UNDEF     
0,56      2,28      0,106     0,137     1,3       4,77      2,305     1,98      UNDEF     UNDEF     8,0       7,0       8,0       UNDEF     
0,57      2,30      0,106     0,138     1,3       4,73      2,325     1,98      UNDEF     UNDEF     8,0       7,0       8,0       UNDEF     
0,58      2,29      0,106     0,139     1,3       4,70      2,313     1,99      UNDEF     UNDEF     8,0       7,0       8,0       UNDEF     
0,59      2,29      0,106     0,140     1,3       4,67      2,313     1,99      UNDEF     UNDEF     8,0       7,0       8,0       UNDEF     
0,60      2,29      0,106     0,140     1,3       4,65      2,313     1,99      UNDEF     UNDEF     8,0       7,0       8,0       UNDEF     
0,61      2,29      0,106     0,140     1,3       4,62      2,313     1,99      UNDEF     UNDEF     8,0       7,0       8,0       UNDEF     
0,62      2,29      0,107     0,141     1,3       4,59      2,314     2,00      UNDEF     UNDEF     8,0       7,0       8,0       UNDEF     
0,63      2,29      0,107     0,142     1,3       4,57      2,314     2,00      UNDEF     UNDEF     8,0       7,0       8,0       UNDEF     
